,Id,PID,MS SubClass,MS Zoning,Street,Land Contour,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Total Bsmt SF,Heating QC,Central Air,Electrical,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Sale Type,SalePrice
0,109,533352170,60,RL,Pave,Lvl,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,725.0,Ex,Y,SBrkr,1479,0.0,2,1,1,Gd,6,Typ,0,NA,Attchd,1976.0,RFn,2.0,475.0,TA,Y,WD ,130500
1,544,531379050,60,RL,Pave,Lvl,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,913.0,Ex,Y,SBrkr,2122,1.0,2,1,1,Gd,8,Typ,1,TA,Attchd,1997.0,RFn,2.0,559.0,TA,Y,WD ,220000
2,153,535304180,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,1057.0,TA,Y,SBrkr,1057,1.0,1,0,1,Gd,5,Typ,0,NA,Detchd,1953.0,Unf,1.0,246.0,TA,Y,WD ,109000
3,318,916386060,60,RL,Pave,Lvl,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,384.0,Gd,Y,SBrkr,1444,0.0,2,1,1,TA,7,Typ,0,NA,BuiltIn,2007.0,Fin,2.0,400.0,TA,Y,WD ,174000
4,255,906425045,50,RL,Pave,Lvl,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,676.0,TA,Y,SBrkr,1445,0.0,2,0,1,TA,6,Typ,0,NA,Detchd,1957.0,Unf,2.0,484.0,TA,N,WD ,138500
5,138,535126040,20,RL,Pave,Lvl,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,1517.0,Ex,Y,SBrkr,1888,0.0,2,1,1,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,Y,WD ,190000
6,2827,908186070,180,RM,Pave,Lvl,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,547.0,Gd,Y,SBrkr,1072,1.0,2,0,1,TA,5,Typ,0,NA,Basment,2005.0,Fin,2.0,525.0,TA,Y,New,140000
7,145,535154050,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,1188.0,Fa,Y,SBrkr,1188,1.0,1,0,1,TA,6,Typ,0,NA,Attchd,1959.0,RFn,2.0,531.0,TA,Y,COD,142000
8,1942,535353130,20,RL,Pave,Lvl,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,924.0,TA,Y,SBrkr,924,0.0,1,0,1,TA,6,Typ,0,NA,Detchd,1952.0,Unf,1.0,420.0,TA,Y,WD ,112500
9,1956,535426130,60,RL,Pave,HLS,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,1040.0,TA,Y,SBrkr,2080,0.0,1,2,1,Fa,9,Typ,2,TA,Attchd,1969.0,Unf,2.0,504.0,TA,Y,WD ,135000
